gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1370926300,1370926304.0,L1,128.0,0.21758019924163818,0.219608873128891,,AMBIGUOUS,AMBIGUOUS,0.14599183201789856,0.2868003845214844,idxq4-64_queryq4-64
1377457948,1377457952.0,L1,4.0,0.2201700061559677,0.2201695740222931,4.3213367462158203e-07,ROBUST,ROBUST,0.15031939417123752,0.21959366053342733,idxq4-64_queryq4-64
1377457948,1377457952.0,L1,16.0,0.19807204604148865,0.2201695740222931,,AMBIGUOUS,AMBIGUOUS,0.14252088919281877,0.21626390442252097,idxq4-64_queryq4-64
1377457948,1377457952.0,L1,64.0,0.1936933845281601,0.2201695740222931,,AMBIGUOUS,AMBIGUOUS,0.1372045400738714,0.23653336107730424,idxq4-64_queryq4-64
1377457948,1377457952.0,L1,128.0,0.19614502787590027,0.2201695740222931,,AMBIGUOUS,AMBIGUOUS,0.14599183201789856,0.2868003845214844,idxq4-64_queryq4-64
1381819708,1381819712.0,L1,4.0,0.2203374207019806,0.220337375998497,4.470348358154297e-08,ROBUST,ROBUST,0.15031939417123752,0.21959366053342733,idxq4-64_queryq4-64
1381819708,1381819712.0,L1,16.0,0.22656185925006866,0.220337375998497,,ROBUST,ROBUST,0.14252088919281877,0.21626390442252097,idxq4-64_queryq4-64
1381819708,1381819712.0,L1,64.0,0.2169329822063446,0.220337375998497,,AMBIGUOUS,AMBIGUOUS,0.1372045400738714,0.23653336107730424,idxq4-64_queryq4-64
1381819708,1381819712.0,L1,128.0,0.22276510298252106,0.220337375998497,,ROBUST,AMBIGUOUS,0.14599183201789856,0.2868003845214844,idxq4-64_queryq4-64
1369905596,1369905600.0,L1,4.0,0.220430389046669,0.2204306423664093,2.5331974029541016e-07,ROBUST,ROBUST,0.15031939417123752,0.21959366053342733,idxq4-64_queryq4-64
1369905596,1369905600.0,L1,16.0,0.2094297707080841,0.2204306423664093,,AMBIGUOUS,AMBIGUOUS,0.14252088919281877,0.21626390442252097,idxq4-64_queryq4-64
1369905596,1369905600.0,L1,64.0,0.18760520219802856,0.2204306423664093,,AMBIGUOUS,AMBIGUOUS,0.1372045400738714,0.23653336107730424,idxq4-64_queryq4-64
1369905596,1369905600.0,L1,128.0,0.19295771420001984,0.2204306423664093,,AMBIGUOUS,AMBIGUOUS,0.14599183201789856,0.2868003845214844,idxq4-64_queryq4-64
1378025468,1378025472.0,L1,4.0,0.22063226997852325,0.2206320464611053,2.23517417963226e-07,ROBUST,ROBUST,0.15031939417123752,0.21959366053342733,idxq4-64_queryq4-64
1378025468,1378025472.0,L1,16.0,0.21973778307437897,0.2206320464611053,,ROBUST,ROBUST,0.14252088919281877,0.21626390442252097,idxq4-64_queryq4-64
1378025468,1378025472.0,L1,64.0,0.22428715229034424,0.2206320464611053,,ROBUST,AMBIGUOUS,0.1372045400738714,0.23653336107730424,idxq4-64_queryq4-64
1378025468,1378025472.0,L1,128.0,0.22825007140636444,0.2206320464611053,,ROBUST,AMBIGUOUS,0.14599183201789856,0.2868003845214844,idxq4-64_queryq4-64
1376195772,1376195776.0,L1,4.0,0.2208757996559143,0.2208759188652038,1.192092894952701e-07,ROBUST,ROBUST,0.15031939417123752,0.21959366053342733,idxq4-64_queryq4-64
1376195772,1376195776.0,L1,16.0,0.2180805653333664,0.2208759188652038,,AMBIGUOUS,ROBUST,0.14252088919281877,0.21626390442252097,idxq4-64_queryq4-64
1376195772,1376195776.0,L1,64.0,0.20657145977020264,0.2208759188652038,,AMBIGUOUS,AMBIGUOUS,0.1372045400738714,0.23653336107730424,idxq4-64_queryq4-64
1376195772,1376195776.0,L1,128.0,0.2050856649875641,0.2208759188652038,,AMBIGUOUS,AMBIGUOUS,0.14599183201789856,0.2868003845214844,idxq4-64_queryq4-64
1369477148,1369477152.0,L1,4.0,0.22118891775608063,0.221188798546791,1.1920928963404798e-07,ROBUST,ROBUST,0.15031939417123752,0.21959366053342733,idxq4-64_queryq4-64
1369477148,1369477152.0,L1,16.0,0.22474856674671173,0.221188798546791,,ROBUST,ROBUST,0.14252088919281877,0.21626390442252097,idxq4-64_queryq4-64
1369477148,1369477152.0,L1,64.0,0.21731476485729218,0.221188798546791,,AMBIGUOUS,AMBIGUOUS,0.1372045400738714,0.23653336107730424,idxq4-64_queryq4-64
